LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
06100101,34,34,,Fichtenberg,Steglitz,Steglitz-Zehlendorf
06300630,34,34,,Hindenburgdamm,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
09100202,34,32,2.0,Plänterwald West,Treptow-Köpenick 1,Treptow-Köpenick
07200411,34,34,,Julius-Leber-Brücke,Schöneberg Süd,Tempelhof-Schöneberg
04501148,34,32,2.0,Brabanter Platz,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
04300415,33,31,2.0,Lietzensee,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
07200410,33,32,1.0,Feurigstraße,Schöneberg Süd,Tempelhof-Schöneberg
02500830,33,33,,Niederbarnimstraße,Freidrichshain Ost,Friedrichshain-Kreuzberg
03200207,33,33,,Herthaplatz,Nördliches Pankow,Pankow
01400940,33,27,6.0,Schillerpark,Wedding,Mitte
11400931,32,30,2.0,Massower Straße,Lichtenberg Mitte,Lichtenberg
06300632,32,30,2.0,Schweizer Viertel,Zehlendorf Süd/Lichetrfelde West,Steglitz-Zehlendorf
04300620,32,29,3.0,Spreestadt,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
12200309,32,30,2.0,Scharnweberstraße,Tegel,Reinickendorf
01200520,32,31,1.0,Bremer Straße,Moabit,Mitte
08100521,32,29,3.0,Schulenburgpark,Neukölln,Neukölln
03501037,32,28,4.0,Rathaus Weißensee,Südliches Weißensee,Pankow
03100103,32,32,,Karower Chaussee,Buch,Pankow
09200510,32,31,1.0,Helmholtz-Kiez,Treptow-Köpenick 2,Treptow-Köpenick
01200519,32,31,1.0,Emdener Straße,Moabit,Mitte
03501038,31,28,3.0,Hansastraße,Südliches Weißensee,Pankow
04200310,31,28,3.0,Fürstenplatz,Charlottenburg West,Charlottenburg-Wilmersdorf
04200309,31,30,1.0,Neu Westend,Charlottenburg West,Charlottenburg-Wilmersdorf
10400836,31,31,,Alt-Kaulsdorf,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf
05100315,31,29,2.0,Ackerstraße,Spandau Mitte/Nord,Spandau
06400838,31,31,,Krumme Lanke,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
09300920,31,30,1.0,Dorf Altglienicke,Treptow-Köpenick 3,Treptow-Köpenick
03601451,31,29,2.0,Anton-Saefkow-Park,Nördlicher Prenzlauer Berg,Pankow
04300412,31,20,11.0,Schlossgarten,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
03300412,30,30,,Karow Bahnhof,Nördliches Weißensee,Pankow
03601449,30,27,3.0,Michelangelostraße,Nördlicher Prenzlauer Berg,Pankow
07400823,30,28,2.0,Wittekindstraße,Tempelhof,Tempelhof-Schöneberg
06200313,30,28,2.0,Lankwitz Kirche,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
04501150,30,29,1.0,Wilhelmsaue,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf
07400825,29,28,1.0,Friedrich-Karl-Straße,Tempelhof,Tempelhof-Schöneberg
06100207,29,28,1.0,Mittelstraße,Steglitz,Steglitz-Zehlendorf
06200311,29,27,2.0,Alt-Lankwitz,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
05300737,29,27,2.0,Gartenfelder Straße,Haselhorst/Siemensstadt,Spandau
07601238,29,29,,Marienfelde Nordost,Marienfelde/Lichtenrade,Tempelhof-Schöneberg
01200623,29,28,1.0,Stephankiez,Moabit,Mitte
11400928,28,27,1.0,Nöldnerplatz,Lichtenberg Mitte,Lichtenberg
07400824,28,26,2.0,Bosepark,Tempelhof,Tempelhof-Schöneberg
01200625,28,28,,Lübecker Straße,Moabit,Mitte
11200410,28,23,5.0,Malchower Weg,Hohenschönhausen Süd,Lichtenberg
09200512,28,28,,Wuhlheide,Treptow-Köpenick 2,Treptow-Köpenick
01400939,27,25,2.0,Glasgower Straße,Wedding,Mitte
07501133,27,24,3.0,Fritz-Werner-Straße,Mariendorf,Tempelhof-Schöneberg
06100206,27,26,1.0,Stadtpark,Steglitz,Steglitz-Zehlendorf
09502042,27,26,1.0,Mittelheide,Treptow-Köpenick 5,Treptow-Köpenick
06200420,27,26,1.0,Lichterfelde Süd,Lankwitz/Lichterfelde Ost,Steglitz-Zehlendorf
03400618,27,26,1.0,Rosenthal,Südliches Pankow,Pankow
09200818,27,26,1.0,Spindlersfeld,Treptow-Köpenick 2,Treptow-Köpenick
11401032,27,23,4.0,Rosenfelder Ring,Lichtenberg Mitte,Lichtenberg
11200512,27,27,,Orankesee,Hohenschönhausen Süd,Lichtenberg
06400842,26,26,,Hüttenweg,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf
03400828,26,21,5.0,Spiekermann Straße,Südliches Pankow,Pankow
