BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
06G07;Steglitz-Zehlendorf;G;Zinnowwald-Grundschule;Wilskistr. 78;14163;Berlin;Wilskistr. 78 14163 Berlin;Aktive Technik verbaut;Ja;18.10.22;17.05.23;08.12.23;Nein
07A05;Tempelhof-Schöneberg;A;Kolleg Schöneberg;Nürnberger Str. 63;10787;Berlin;Nürnberger Str. 63 10787 Berlin;Begehung durchgeführt;Ja;27.01.23;;;Nein
07A06;Tempelhof-Schöneberg;A;Volkshochschule Tempelhof-Schöneberg;Tempelhofer Weg 62;10829;Berlin;Tempelhofer Weg 62 10829 Berlin;Begehung durchgeführt;Ja;07.02.23;;;Nein
07G01;Tempelhof-Schöneberg;G;Spreewald-Grundschule;Pallasstr. 15;10781;Berlin;Pallasstr. 15 10781 Berlin;Begehung durchgeführt;Ja;19.09.22;;;Nein
07G02;Tempelhof-Schöneberg;G;Finow-Grundschule;Welserstr. 16-22;10777;Berlin;Welserstr. 16-22 10777 Berlin;APL installiert;Ja;12.09.22;02.12.22;;Nein
07G03;Tempelhof-Schöneberg;G;Werbellinsee-Grundschule;Luitpoldstr. 38;10781;Berlin;Luitpoldstr. 38 10781 Berlin;Begehung durchgeführt;Ja;12.09.22;;;Nein
07G05;Tempelhof-Schöneberg;G;Havelland-Grundschule;Kolonnenstr. 30 - 30a;10829;Berlin;Kolonnenstr. 30 - 30a 10829 Berlin;Begehung durchgeführt;Ja;17.10.22;;;Nein
07G06;Tempelhof-Schöneberg;G;Sternberg-Grundschule;Mettestr. 8;10825;Berlin;Mettestr. 8 10825 Berlin;Begehung durchgeführt;Ja;10.10.22;;;Nein
07G07;Tempelhof-Schöneberg;G;Lindenhof-Grundschule;Reglinstr. 29;12105;Berlin;Reglinstr. 29 12105 Berlin;Begehung durchgeführt;Ja;16.02.23;;;Nein
07G10;Tempelhof-Schöneberg;G;Teltow-Grundschule;Feurigstr. 57;10827;Berlin;Feurigstr. 57 10827 Berlin;Begehung durchgeführt;Ja;17.10.22;;;Nein
07G12;Tempelhof-Schöneberg;G;Scharmützelsee-Grundschule;Hohenstaufenstr. 49;10779;Berlin;Hohenstaufenstr. 49 10779 Berlin;Begehung durchgeführt;Ja;12.09.22;;;Nein
08G01;Neukölln;G;Rixdorfer Schule (Grundschule);Donaustr. 120;12043;Berlin;Donaustr. 120 12043 Berlin;Anschluss nutzbar;Ja;25.07.22;13.10.23;31.10.23;Ja
08G02;Neukölln;G;Theodor-Storm-Schule (Grundschule);Hobrechtstr. 76;12043;Berlin;Hobrechtstr. 76 12043 Berlin;Anschluss nutzbar;Ja;25.07.22;17.10.22;08.09.23;Ja
08G05;Neukölln;G;Elbe-Schule (Grundschule);Elbestr. 11;12045;Berlin;Elbestr. 11 12045 Berlin;Anschluss nutzbar;Ja;25.07.22;19.04.23;26.09.23;Ja
08G06;Neukölln;G;Karl-Weise-Schule (Grundschule);Weisestr. 20;12049;Berlin;Weisestr. 20 12049 Berlin;Anschluss nutzbar;Ja;01.08.22;05.05.23;09.10.23;Ja
08G06b;Neukölln;G;Karl-Weise-Schule (Grundschule);Lichtenrader Straße 4A;12049;Berlin;Lichtenrader Straße 4A 12049 Berlin;Aktive Technik verbaut;Ja;18.07.22;23.09.22;01.03.24;Nein
08G07;Neukölln;G;Hermann-Boddin-Schule (Grundschule);Boddinstr. 55;12053;Berlin;Boddinstr. 55 12053 Berlin;Aktive Technik verbaut;Ja;11.07.22;16.09.22;07.05.24;Nein
08G08;Neukölln;G;Karlsgarten-Schule (Grundschule);Karlsgartenstr. 7;12049;Berlin;Karlsgartenstr. 7 12049 Berlin;Anschluss nutzbar;Ja;15.08.22;28.04.23;19.09.23;Ja
08G09;Neukölln;G;Regenbogen-Schule (Grundschule);Morusstr. 32;12053;Berlin;Morusstr. 32 12053 Berlin;Anschluss nutzbar;Ja;25.07.22;21.07.23;23.08.23;Ja
08G11;Neukölln;G;Schliemann-Schule (Grundschule);Groß-Ziethener Chaussee 81;12355;Berlin;Groß-Ziethener Chaussee 81 12355 Berlin;Begehung durchgeführt;Ja;08.08.22;;;Nein
08G12;Neukölln;G;Peter-Petersen-Schule (Grundschule);Jonasstr. 15;12053;Berlin;Jonasstr. 15 12053 Berlin;Anschluss nutzbar;Ja;01.08.22;05.05.23;20.09.23;Ja
