LAT,LON,Bezirk,Schule,Straße,PLZ,Ort,Adresse,Aktueller Status,Standort beauftragt?,"Begehung durgeführt am:
[Datum]","Tiefbau abgeschlossen am: 
[Datum]","Aktive Technik 
verbaut 
am: 
[Datum]","Anschluss nutzbar? 
[Ja / Nein]"
52.4941763,13.3432045,Tempelhof-Schöneberg,Scharmützelsee-Grundschule,Hohenstaufenstr. 49,10779,Berlin,Hohenstaufenstr. 49 10779 Berlin,Begehung durchgeführt,Ja,12.09.22,,,Nein
52.4849081,13.4315633,Neukölln,Rixdorfer Schule (Grundschule),Donaustr. 120,12043,Berlin,Donaustr. 120 12043 Berlin,Anschluss nutzbar,Ja,25.07.22,13.10.23,31.10.23,Ja
52.4868722,13.4259525,Neukölln,Theodor-Storm-Schule (Grundschule),Hobrechtstr. 76,12043,Berlin,Hobrechtstr. 76 12043 Berlin,Anschluss nutzbar,Ja,25.07.22,17.10.22,08.09.23,Ja
52.484251,13.441004,Neukölln,Elbe-Schule (Grundschule),Elbestr. 11,12045,Berlin,Elbestr. 11 12045 Berlin,Anschluss nutzbar,Ja,25.07.22,19.04.23,26.09.23,Ja
52.4763094,13.4234085,Neukölln,Karl-Weise-Schule (Grundschule),Weisestr. 20,12049,Berlin,Weisestr. 20 12049 Berlin,Anschluss nutzbar,Ja,01.08.22,05.05.23,09.10.23,Ja
52.4781448,13.4185661,Neukölln,Karl-Weise-Schule (Grundschule),Lichtenrader Straße 4A,12049,Berlin,Lichtenrader Straße 4A 12049 Berlin,Aktive Technik verbaut,Ja,18.07.22,23.09.22,01.03.24,Nein
52.4800889,13.430646,Neukölln,Hermann-Boddin-Schule (Grundschule),Boddinstr. 55,12053,Berlin,Boddinstr. 55 12053 Berlin,Aktive Technik verbaut,Ja,11.07.22,16.09.22,07.05.24,Nein
52.4825702,13.421501,Neukölln,Karlsgarten-Schule (Grundschule),Karlsgartenstr. 7,12049,Berlin,Karlsgartenstr. 7 12049 Berlin,Anschluss nutzbar,Ja,15.08.22,28.04.23,19.09.23,Ja
52.4753637,13.4331299,Neukölln,Regenbogen-Schule (Grundschule),Morusstr. 32,12053,Berlin,Morusstr. 32 12053 Berlin,Anschluss nutzbar,Ja,25.07.22,21.07.23,23.08.23,Ja
52.4108217,13.4853491,Neukölln,Schliemann-Schule (Grundschule),Groß-Ziethener Chaussee 81,12355,Berlin,Groß-Ziethener Chaussee 81 12355 Berlin,Begehung durchgeführt,Ja,08.08.22,,,Nein
52.4717574,13.4357615,Neukölln,Peter-Petersen-Schule (Grundschule),Jonasstr. 15,12053,Berlin,Jonasstr. 15 12053 Berlin,Anschluss nutzbar,Ja,01.08.22,05.05.23,20.09.23,Ja
52.468068,13.4838796,Treptow-Köpenick,Treptow-Kolleg,Kiefholzstr. 274,12437,Berlin,Kiefholzstr. 274 12437 Berlin,APL installiert,Ja,22.07.22,07.05.24,,Nein
52.4930001,13.4520992,Treptow-Köpenick,Bouché-Schule (Grundschule),Bouchestr. 5,12435,Berlin,Bouchestr. 5 12435 Berlin,Anschluss nutzbar,Ja,16.05.22,14.07.22,25.07.23,Ja
52.4684755,13.4779479,Treptow-Köpenick,Schule am Heidekampgraben (Grundschule),Hänselstr. 14,12437,Berlin,Hänselstr. 14 12437 Berlin,APL installiert,Ja,22.07.22,07.05.24,,Nein
52.4619326,13.4885221,Treptow-Köpenick,Sonnenblumen-Schule (Grundschule),Radenzer Str. 16,12437,Berlin,Radenzer Str. 16 12437 Berlin,Anschluss nutzbar,Ja,01.07.22,16.05.23,29.11.23,Ja
52.4400717,13.4975282,Treptow-Köpenick,Schule am Ginkobaum (Grundschule),Springbornstr. 250,12487,Berlin,Springbornstr. 250 12487 Berlin,Begehung durchgeführt,Ja,02.08.22,,,Nein
52.4467122,13.5105237,Treptow-Köpenick,Melli-Beese-Schule (Grundschule),Engelhardstr. 18,12487,Berlin,Engelhardstr. 18 12487 Berlin,Anschluss nutzbar,Ja,25.07.22,14.02.23,01.02.24,Ja
52.4544878,13.515246,Treptow-Köpenick,Schule an der alten Feuerwache (Grundschule),Schnellerstr. 31,12439,Berlin,Schnellerstr. 31 12439 Berlin,Anschluss nutzbar,Ja,16.05.22,14.07.22,29.03.23,Ja
52.438443,13.5438997,Treptow-Köpenick,Heide-Schule (Grundschule),Florian-Geyer-Str. 87,12489,Berlin,Florian-Geyer-Str. 87 12489 Berlin,Begehung durchgeführt,Ja,02.08.22,,,Nein
